genus,family
Abies,Pinaceae
Acer,Sapindaceae
Achillea,Asteraceae
Achnatherum,Poaceae
Agropyron,Poaceae
Alnus,Betulaceae
Amelanchier,Rosaceae
Ancistrocactus,Cactaceae
Arbutus,Ericaceae
Arctostaphylos,Ericaceae
Aristida,Poaceae
Arnica,Asteraceae
Artemisia,Asteraceae
Astragalus,Fabaceae
Betula,Betulaceae
Bromus,Poaceae
Calamagrostis,Poaceae
Calocedrus,Cupressaceae
Celtis,Cannabaceae
Cercocarpus,Rosaceae
Chamaecyparis,Cupressaceae
Coreopsis,Asteraceae
Cornus,Cornaceae
Elymus,Poaceae
Ephedra,Ephedraceae
Eriogonum,Polygonaceae
Fagus,Fagaceae
Fendlera,Hydrangeaceae
Fraxinus,Oleaceae
Gutierrezia,Asteraceae
Helianthus,Asteraceae
Hesperostipa,Poaceae
Juniperus,Cupressaceae
Koeleria,Poaceae
Lactuca,Asteraceae
Larix,Pinaceae
Lolium,Poaceae
Lupinus,Fabaceae
Machaeranthera,Asteraceae
Maclura,Moraceae
Mahonia,Berberidaceae
Matelea,Apocynaceae
Morus,Moraceae
Notholithocarpus,Fagaceae
Picradeniopsis,Asteraceae
Pinus,Pinaceae
Platanus,Platanaceae
Poa,Poaceae
Polycarpon,Caryophyllaceae
Polygonum,Polygonaceae
Populus,Salicaceae
Prunus,Rosaceae
Pseudoroegneria,Poaceae
Pseudotsuga,Pinaceae
Quercus,Fagaceae
Rosa,Rosaceae
Rumex,Polygonaceae
Salix,Salicaceae
Sassafras,Lauraceae
Sequoia,Cupressaceae
Sequoiadendron,Cupressaceae
Sisymbrium,Brassicaceae
Solidago,Asteraceae
Taxus,Taxaceae
Thuja,Cupressaceae
Tiquilia,Boraginaceae
Tsuga,Pinaceae
Ulmus,Ulmaceae
Vicia,Fabaceae
Wyethia,Asteraceae
Zea,Poaceae
